method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
CEAT	C6_term_word	opt	full	cos	template	word-end	0.0	0.2404614475142425	0.0016906247098506817	0.1739660767310083	0.030138765433307287
CEAT	C9_name_word	opt	full	cos	template	sent	0.0	0.30298596556454904	0.0033433306944420037	0.3384241585627752	0.11452005479996871
CEAT	C9_name_word	opt	full	cos	template	word-average	0.0	0.29644319839783795	0.0026850132599434673	0.27335620746645606	0.07470080573599777
CEAT	C9_name_word	opt	full	cos	template	word-start	1.957459823190136e-06	-0.012558466910728127	0.002639571499550719	0.2644160851732144	0.06990422246362614
CEAT	C9_name_word	opt	full	cos	template	word-end	0.0	0.2452125487463129	0.0028366234407719393	0.2906697112136178	0.08446146214216468
CEAT	C9_name_m_word	opt	full	cos	template	sent	0.0	0.28125060311735145	0.003247564777140717	0.3277094796037753	0.10738263983690917
CEAT	C9_name_m_word	opt	full	cos	template	word-average	0.0	0.18264612228249807	0.0026044917201381414	0.26369323116087545	0.0695176861561176
CEAT	C9_name_m_word	opt	full	cos	template	word-start	1.599288935947673e-256	-0.08894150012810166	0.002599710857733592	0.2595374775997132	0.067354270841922
CEAT	C9_name_m_word	opt	full	cos	template	word-end	0.0	0.22877555811913036	0.0027198607793430187	0.27743814533580385	0.07695271316780204
CEAT	C9_term_word	opt	full	cos	template	sent	0.0	0.8289169946733657	0.004723408889416712	0.44653387088051266	0.19943224625982772
CEAT	C9_term_word	opt	full	cos	template	word-average	0.0	0.8785078240788253	0.0041162196618626705	0.4065210454683707	0.16527656422912015
CEAT	C9_term_word	opt	full	cos	template	word-start	0.0	0.41557548856779364	0.005032849985112151	0.5094504850847752	0.25951837209302075
CEAT	C9_term_word	opt	full	cos	template	word-end	0.0	1.1749493860449074	0.003609073866060017	0.35653446600865457	0.12712069476660517
CEAT	Dis_term_word	opt	full	cos	template	sent	4.3923896978503734e-103	-0.053340619157243654	0.0024742096825913044	0.2458403607166246	0.06043844529621377
CEAT	Dis_term_word	opt	full	cos	template	word-average	0.0	0.541305080616425	0.0017762890677180455	0.1767632539242241	0.03124633523115871
CEAT	Dis_term_word	opt	full	cos	template	word-start	0.0	0.7840593102760279	0.0011567901645502844	0.11459645756253901	0.013136136157179417
CEAT	Dis_term_word	opt	full	cos	template	word-end	5.307673676747107e-65	0.03342397765531256	0.001963163961084055	0.19697361084947215	0.03879785221801035
CEAT	Dis_term_m_word	opt	full	cos	template	sent	5.891463674361419e-116	-0.056530401110927365	0.002469692908584852	0.24516740078283764	0.060108311447433393
CEAT	Dis_term_m_word	opt	full	cos	template	word-average	0.0	0.5463498496157116	0.0017816331117996595	0.17677104089392778	0.031249632102029693
CEAT	Dis_term_m_word	opt	full	cos	template	word-start	0.0	0.7948179166922269	0.001160265820017463	0.11488244686189489	0.013201973012464372
CEAT	Dis_term_m_word	opt	full	cos	template	word-end	7.280530116231559e-46	0.027761401341476193	0.0019528150594648522	0.195494449078387	0.038217623503865567
CEAT	Occ_name_word	opt	full	cos	template	sent	0.0	0.4192043479103384	0.0034739148233435555	0.3414536063750545	0.11657392334689637
CEAT	Occ_name_word	opt	full	cos	template	word-average	0.0	0.7275954386884285	0.0019921034108286886	0.21398921313363556	0.04574011121886836
CEAT	Occ_name_word	opt	full	cos	template	word-start	0.0	0.12318397472981936	0.0018556912662124837	0.1872658786120298	0.035059807694783826
CEAT	Occ_name_word	opt	full	cos	template	word-end	0.0	0.9625466041797044	0.0021610975309257845	0.24245118072479505	0.058701278693527044
CEAT	Occ_term_word	opt	full	cos	template	sent	0.0	0.5265631308371218	0.003822863990791884	0.39543661564423693	0.15628548231323172
CEAT	Occ_term_word	opt	full	cos	template	word-average	0.0	0.9590491636666775	0.002518618419454051	0.26784982152645104	0.07165682724919638
CEAT	Occ_term_word	opt	full	cos	template	word-start	0.0	0.6742495165340515	0.0029001838075915485	0.29174130883300825	0.08510255298186178
CEAT	Occ_term_word	opt	full	cos	template	word-end	0.0	1.0483814966633678	0.002537309997701744	0.2734538739150484	0.07466653728680936
CEAT	I1_name_word	opt	full	cos	template	sent	0.0	0.42090577460864437	0.0037011052776783023	0.3698008774202261	0.1367460130096336
CEAT	I1_name_word	opt	full	cos	template	word-average	0.0	1.008658416274787	0.003106211187523552	0.30412606927826547	0.09249646354427998
CEAT	I1_name_word	opt	full	cos	template	word-start	0.0	1.4996476815340656	0.0014222855697433154	0.13554923410632352	0.018416084892635038
CEAT	I1_name_word	opt	full	cos	template	word-end	0.0	0.4354744851323638	0.0031309025719786004	0.3117866732063009	0.09720979757816772
