method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
CEAT	Dis_term_m_word	bloom	full	cos	template	word-end	0.0	-0.6358917892501041	0.002250519168534216	0.21707321249486564	0.047120781554538256
CEAT	I1_name_word	bloom	full	cos	template	sent	0.0	0.9231315486122849	0.0031590077102565386	0.2791565947863437	0.0779284716179297
CEAT	I1_name_word	bloom	full	cos	template	word-average	0.0	0.6394391092236456	0.003749924954634727	0.3710723841727491	0.1376947871353731
CEAT	I1_name_word	bloom	full	cos	template	word-start	0.0	1.4204230457646927	0.001650033248170759	0.1650456461562233	0.027240057482275624
CEAT	I1_name_word	bloom	full	cos	template	word-end	0.2696649952512571	0.005185529791614851	0.004697742670130971	0.4713162534605375	0.22213908776611296
CEAT	I1_term_word	bloom	full	cos	template	sent	0.0	-0.15313299343373232	0.0025660759519273994	0.23426410330205488	0.054879675671508955
CEAT	I1_term_word	bloom	full	cos	template	word-average	0.0	0.5497044613739709	0.001142991215082299	0.12344767761562839	0.015239143393631293
CEAT	I1_term_word	bloom	full	cos	template	word-start	0.0	0.6675953329872226	0.0006982932781066548	0.07288186484310771	0.005311583671416223
CEAT	I1_term_word	bloom	full	cos	template	word-end	0.0	0.2547550590195295	0.003205298782071725	0.20528916940560948	0.04214372196667778
CEAT	I2_name_word	bloom	full	cos	template	sent	0.0	0.9379101581408332	0.0029437249663919777	0.2566800822781909	0.06588476382287854
CEAT	I2_name_word	bloom	full	cos	template	word-average	0.0	0.4188159513872365	0.004413676849507724	0.4030774706431091	0.16247175219770307
CEAT	I2_name_word	bloom	full	cos	template	word-start	0.0	0.8798030627191195	0.004061982105387575	0.4140728414120887	0.171456259376065
CEAT	I2_name_word	bloom	full	cos	template	word-end	3.687248142933705e-220	-0.14956976372949657	0.004722348267271688	0.4565939394439316	0.20847882124608694
CEAT	I2_term_word	bloom	full	cos	template	sent	1.6650239239727582e-105	0.05938148171665118	0.0027220253608890767	0.24433103932451253	0.059697673024097925
CEAT	I2_term_word	bloom	full	cos	template	word-average	0.0	0.4148049583225435	0.0016961677727826202	0.17297000597159096	0.02991858487154754
CEAT	I2_term_word	bloom	full	cos	template	word-start	0.0	0.7193007212023039	0.001417607925138418	0.13781773022820631	0.018993720845361103
CEAT	I2_term_word	bloom	full	cos	template	word-end	0.0	0.2453090657919562	0.0025432697302736895	0.19712893901973755	0.03885990962400823
